"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
"Samoa","862","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"464312000","467312000","470312000","503487000","504732000","463090000","476231000","452700000","477400000","484400000","490200000","557832160.06175","732965577.744305","867513000","959700000","984538000","1015453000","1076352219.71128","1121229625.80222","1149286803.85628","1151746157.02121","1152986933.23322","1155148556.8034",
"San Marino","135","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234370215.86","213512271.54","221501366.39","207899265.09","254229089.3","298045920.82","284423474.42","216533117.9","215300000","292600000","307530177.93","322881190.06721","340033554.617019","360088134.631655","381348321.12869","403710439.114799","426379487.95888",
"São Tomé and Príncipe","716","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3657253074466.63","3917710170745.31","2907886644715.44","3594166869309.83","3907691338596.57","4475201116454.21","2032196465272.21","1617723320859.86","2204574477609.58","2905243857427","3206295766807.72","3877329203655.77","3986085918072.57","4301433633005.24","6543089510860","7019237269801.27","7355698976492.42","7502693235471.21","7532063599571.94","7465054875755.69",
"Saudi Arabia","456","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194861000000","245400000000","291800000000","343576000000","398576000000","446868000000","476742000000","558791955000","624581955000","616173000000","643200000000","685081955000","660081955000","610581955000","459600000000","364600000000","266800000000","235000000000","225100000000","166900000000","135500000000","98800000000","60137651821.8624","44300000000","159284465010.705","418316129228.522","671065058721.566","921751817617.173","1165079007297.41","1409032525904.59",
"Senegal","722","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2300000000","2323500000000","707678947504.475","608221104168.775","2456200000000","2536100000000","2527079000000","2180600000000","2019200000000","2097200000000","1068661670000","1270147000000","1433731612947.72","2059987874003.19","2273236546690.43","2759979738200.52","3109802779412.55","3444213823274.64","4113470000000","4537154664760.28","5541062907627.64","5922666008180.29","6125671571644.44","6276285502498.88","6664003878261.99",
"Serbia","942","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"928491900569.06","872594863019.826","790050334985.341","875573036684.818","902486817272.121","947652632276.147","828179389094.781","787439482754.191","888712083461.57","1035448889917.4","1339726774313.03","1588224785881.53","2090192574957.14","2380797173091.94","2801584994498.19","3049757300036.6","3255417950636.84","3407432246728.04","3554572633932.15","3658575684104.55","3781436175106.49",
"Seychelles","718","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10400000","12100000","17000000","16400000","24400000",,,,,,,,,,,,,"1580632900","1766708116.66667","1774852850","2018005800","3036194416.66667","3231374900","3666818733.33333","4046682535.83333","5161787164.16667","5318183968.59632","6062587234.14518","7336087770.54738","7723224574.64901","6697037662.34587","7534928066.31651","7282547236.55562","7434198374.10334","9056253925.65138","11892168929.019","13989137693.6326","9586025532.59406","9745465910.5857","11984041796.3666","10908813567.1466","11845277023.3814","12362824545.615","12159050189.4427","11929490370.6605","11587918977.336","11364488776.2991","11354379025.9517",
"Sierra Leone","724","Gross Government Debt","GGXWDG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3565504970521.91","3913614778720.49","4178951857500","5218139215000","5932689553950","6243537064500","5764276130000","2717145514500","3165582645474.2","3992166854400","4804662626000","5726897056292.26","6071562114326.61","7464482019104.48","8439339013116.25","10371010138743.1","12306296507752.8","13348061061688.4","14517242711663.9","15801177885174.8","17761323785373.9",
"South Africa","199","Gross Domestic Product","NGDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300000000","316000000","318000000","303000000","307000000","343000000","375000000","416000000","507000000","558000000","491000000","439000000","477000000","513000000","537000000","555000000","580000000","601000000","599000000","551000000","497000000","466000000","531000000","601000000","688000000","767000000","814000000","844000000","892000000","987000000","1115000000","1236000000","1322000000","1402000000","1515000000","1637000000","1812000000","2005000000","2179000000","2549000000","2772000000","2976000000","3373000000","3624000000","3819000000","4123000000","4342000000","4445000000","4694000000","4983000000","5280000000","5631000000","6261000000","9872000000","7540000000","8206000000","9173000000","9884000000","10999000000","12037000000","13265000000","15052000000","18713000000","23116000000","25864000000","28996000000","31983000000","37294000000","44569000000","64374595531.303","74558773533.0988","84623910357.1227","96823578644.6427","113483186230.41","130943243114.988","153311696148.558","179225729089.04","215108434450.869","258274202214.829","298971250000","342245250000","383722500000","438884000000","496233000000","563870000000","634611000000","703117000000","761658000000","834753000000","946324000000","1046144000000","1217265000000","1325766000000","1476623000000","1639254000000","1839400000000","2109502000000","2369063000000","2507677000000","2748008000000","3024951000000","3262545000000","3534327000000","3796460000000","4034793492206.46","4326948178562.29","4670234937662.33","5055381844805.46","5476953160022.27","5934037762945.09",
"South Sudan","733","Gross Domestic Product","NGDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51657298922.9385","33237092862.4736","45253587183.6483","42195696660.4983","38003265986.9676","40785039555.0148","41347774712.3663","36167552037.2038","38971884101.4809","38772187192.8856",
